Row ID,Order ID,Order Date,Region,Category,Sub-Category,Segment,Sales,Profit,Discount,Quantity
1,ORD-1000,2021-04-13,West,Office Supplies,Storage,Home Office,563.63,-3.6,0.3,2
2,ORD-1001,2022-03-12,West,Furniture,Bookcases,Consumer,469.28,117.16,0.2,6
3,ORD-1002,2023-05-11,Central,Technology,Accessories,Consumer,780.55,55.63,0.1,3
4,ORD-1003,2021-09-28,West,Furniture,Bookcases,Home Office,660.27,123.49,0.1,2
5,ORD-1004,2021-04-17,East,Office Supplies,Binders,Corporate,238.38,5.13,0.3,2
6,ORD-1005,2021-03-13,East,Technology,Phones,Consumer,272.47,13.58,0.2,4
7,ORD-1006,2022-12-02,West,Office Supplies,Storage,Consumer,209.08,42.27,0.2,6
8,ORD-1007,2021-01-21,South,Furniture,Chairs,Home Office,245.13,49.47,0.0,7
9,ORD-1008,2022-09-07,East,Office Supplies,Binders,Home Office,395.29,66.47,0.2,6
10,ORD-1009,2021-05-02,West,Furniture,Bookcases,Corporate,282.55,52.15,0.1,2
11,ORD-1010,2022-04-12,Central,Technology,Accessories,Home Office,792.17,202.3,0.0,4
12,ORD-1011,2021-08-03,Central,Office Supplies,Storage,Corporate,218.62,11.11,0.0,1
13,ORD-1012,2021-11-27,West,Technology,Phones,Consumer,484.6,68.73,0.3,3
14,ORD-1013,2022-04-04,East,Furniture,Chairs,Consumer,292.12,89.16,0.0,4
15,ORD-1014,2021-03-29,South,Technology,Phones,Corporate,772.72,231.72,0.1,3
16,ORD-1015,2022-01-08,West,Technology,Accessories,Consumer,751.91,55.47,0.3,1
17,ORD-1016,2021-04-10,South,Technology,Accessories,Consumer,598.07,20.59,0.1,5
18,ORD-1017,2023-05-22,West,Furniture,Bookcases,Corporate,129.02,35.5,0.0,4
19,ORD-1018,2022-10-26,Central,Technology,Accessories,Corporate,147.65,15.64,0.0,3
20,ORD-1019,2021-05-11,South,Furniture,Bookcases,Consumer,538.85,157.54,0.1,1
21,ORD-1020,2022-10-24,East,Office Supplies,Binders,Consumer,704.22,179.5,0.0,7
22,ORD-1021,2021-11-05,South,Furniture,Bookcases,Home Office,576.75,56.99,0.3,6
23,ORD-1022,2023-02-09,Central,Furniture,Bookcases,Corporate,441.03,62.1,0.2,1
24,ORD-1023,2021-12-10,South,Furniture,Chairs,Consumer,297.18,31.25,0.2,6
25,ORD-1024,2022-05-07,East,Office Supplies,Paper,Consumer,71.96,10.6,0.3,3
26,ORD-1025,2022-02-18,West,Office Supplies,Paper,Corporate,356.59,63.58,0.2,2
27,ORD-1026,2023-03-17,Central,Furniture,Chairs,Consumer,128.63,32.62,0.2,1
28,ORD-1027,2022-01-21,West,Office Supplies,Storage,Home Office,436.1,70.62,0.2,5
29,ORD-1028,2021-07-11,South,Office Supplies,Storage,Home Office,138.31,36.25,0.0,3
30,ORD-1029,2021-10-04,East,Office Supplies,Paper,Home Office,600.28,48.84,0.1,2
31,ORD-1030,2021-06-10,Central,Furniture,Chairs,Corporate,614.72,133.02,0.2,6
32,ORD-1031,2022-04-05,West,Technology,Machines,Consumer,660.58,68.47,0.2,5
33,ORD-1032,2021-11-10,Central,Office Supplies,Binders,Corporate,119.44,13.22,0.3,5
34,ORD-1033,2021-01-22,West,Furniture,Chairs,Home Office,399.36,70.56,0.3,2
35,ORD-1034,2021-09-10,Central,Office Supplies,Binders,Consumer,29.52,5.85,0.2,4
36,ORD-1035,2023-01-18,West,Office Supplies,Storage,Consumer,578.62,54.22,0.2,3
37,ORD-1036,2023-05-07,East,Office Supplies,Paper,Consumer,768.08,103.7,0.3,7
38,ORD-1037,2022-07-15,Central,Furniture,Bookcases,Consumer,380.36,77.78,0.1,2
39,ORD-1038,2022-04-20,South,Furniture,Tables,Home Office,477.26,23.98,0.1,1
40,ORD-1039,2021-02-28,Central,Furniture,Bookcases,Corporate,34.13,4.71,0.3,4
41,ORD-1040,2022-05-26,Central,Furniture,Tables,Corporate,460.8,90.79,0.3,5
42,ORD-1041,2022-11-13,South,Furniture,Chairs,Consumer,571.65,143.7,0.1,7
43,ORD-1042,2022-04-21,West,Office Supplies,Paper,Consumer,493.24,21.31,0.1,6
44,ORD-1043,2022-12-01,South,Office Supplies,Storage,Consumer,748.81,219.56,0.1,1
45,ORD-1044,2023-02-22,South,Technology,Machines,Corporate,108.33,10.8,0.0,4
46,ORD-1045,2021-07-09,East,Office Supplies,Binders,Home Office,117.24,17.54,0.0,6
47,ORD-1046,2022-11-18,Central,Furniture,Bookcases,Corporate,424.69,60.46,0.3,7
48,ORD-1047,2022-07-17,West,Office Supplies,Binders,Corporate,62.71,7.0,0.0,1
49,ORD-1048,2023-05-26,West,Office Supplies,Binders,Corporate,23.61,1.99,0.0,4
50,ORD-1049,2022-07-21,West,Furniture,Bookcases,Consumer,439.17,117.21,0.2,7
51,ORD-1050,2021-09-01,West,Office Supplies,Binders,Corporate,290.62,85.89,0.1,3
52,ORD-1051,2023-04-12,Central,Furniture,Tables,Home Office,45.62,1.47,0.2,1
53,ORD-1052,2022-05-20,West,Office Supplies,Paper,Corporate,408.73,12.33,0.1,1
54,ORD-1053,2021-05-11,West,Furniture,Chairs,Home Office,302.67,22.18,0.2,2
